DisNo.,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Affected,"Total Damage, Adjusted ('000 US$)",Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium"
2007-0187-LKA,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,LKA,Sri Lanka,Southern Asia,Asia,"Galle district (Southern province), Western province",No,No,No,,3340.0,Km2,6.49,80.08,,2007.0,5.0,2.0,2007.0,5.0,7.0,121000.0,73.0,,
2007-0195-KGZ,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,KGZ,Kyrgyzstan,Central Asia,Asia,"Jalal-Abad, Osh provinces",No,No,No,,17040.0,Km2,40.63,73.83,,2007.0,4.0,17.0,2007.0,4.0,25.0,845.0,294.0,,
2007-0201-GBR,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Leeds, Wakefield towns (West Yorkshire district, England province), North Yorkshire district (England province), Derbyshire, Hereford and Wor Leicestershire, Lincolnshire, Nottinghamshire, Salop, Staffordshire, Warwickshire, West Midlands districts (England province), Wales province, Northern Ireland province",No,No,No,,23110.0,Km2,52.52,-0.76,"Ouse, Tame, Dearne",2007.0,6.0,15.0,2007.0,6.0,21.0,200.0,658362.0,,
2007-0217-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,Pu'er district (Yunnan Sheng province),No,No,No,,6.1,Moment Magnitude,23.028,101.052,,2007.0,6.0,2.0,2007.0,6.0,2.0,329.0,502589.0,,
2007-0245-PAK,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,PAK,Pakistan,Southern Asia,Asia,"Balochistan, Sindh, North-West Frontier provinces",No,No,No,35048.0,,Kph,25.26,67.9,,2007.0,6.0,26.0,2007.0,7.0,6.0,1650000.0,2380684.0,,
2007-0247-GBR,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Sheffield, Doncaster, Rotherham, Nottinghamshire, Barnsley, Dinnington, Darfield towns, Treeton, Catcliffe villages (South Yorkshire district, England province), Ryedale town (North Yorkshire district, England province), Wafefield, Leeds, Calderdale towns (West Yorkshire district, England province), Lichfield town (Staffordshire district, England province), Grantham, Horncastle, Louth, Wainfleet, Lincoln towns (Lincolnshire district, England province), Wyre Forest, Pershore, Tenbury Wells (Hereford and Word district, England province), Gloucestershire district (England province), Salop district (England province), Hull, East Riding towns (Humberside district, England province), Omagh district (Northen Ireland province), Norfolk town (Norfolkshire district, England province), Earby town (Lancashire district, England province), Corwen town (Clwyd district, Wales province), Whiston town (Merseyside district, England province)",No,No,No,,27720.0,Km2,53.88,-0.91,"Waring, Deame, Don, Sheaf, Rother, Lud, Corve, Teme",2007.0,6.0,25.0,2007.0,7.0,3.0,30000.0,5878232.0,,
2007-0254-USA,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,"North Texas, Oklahoma provinces",No,No,No,,34750.0,Km2,33.45,-97.3,Pecan Creek,2007.0,6.0,17.0,2007.0,6.0,22.0,750.0,41148.0,,
2007-0258-JPN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,"Aikawamati, Akadomarimura, Hatanomati, Izumozakimati, Kanaimati, Kariwamura, Kasiwazakisi, Manomati, Nagaokasi, Niigatasi, Odiyasi, Ogimati, Sanzyoosi, Sawatamati, Yosidamati, Zyooetusi districts (Niigata province), Nagano, Toyama provinces",Yes,No,No,,6.6,Moment Magnitude,37.535,138.446,,2007.0,7.0,16.0,2007.0,7.0,16.0,14000.0,18369474.0,,
2007-0261-SDN,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,SDN,Sudan,Northern Africa,Africa,"White Nile, Khartoum, Nile, Blue Nile, Red Sea, Northern Kordofan, Southern Kordofan, Sennar, Al Jazeera provinces",No,No,No,46924.0,1591000.0,Km2,12.91,33.77,"Nile, Al-Gash",2007.0,7.0,3.0,2007.0,10.0,8.0,565335.0,440867.0,,
2007-0262-JPN,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,"Okinawa, Hukuoka, Kagosima, Kumamoto, Miyazaki, Nagasaki, Ooita, Saga, Aiti, Ehime, Kagawa, Kooti, Tokusima provinces",No,No,No,,250.0,Kph,31.69,130.9,,2007.0,7.0,13.0,2007.0,7.0,16.0,40012.0,88173.0,,
2007-0278-GBR,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Gloucestershire, Oxfordshire, Berkshire, Bedfordshire, Herefordshire, Warwickshire, Lincolnshire, Avon, Wiltshire districts (England province), Worcestershire (Hereford and Wor district, England province)",No,No,No,,24650.0,Km2,52.07,-2.1,"Severnn, Tamise, Avon",2007.0,7.0,20.0,2007.0,7.0,24.0,340000.0,5878232.0,,
2007-0307-NPL,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,NPL,Nepal,Southern Asia,Asia,"Mahottari, Dhanusha, Sindhuli areas (Janakpur district, Central province), Jhapa area (Mechi district, Eastern province), Sunsari area (Koshi district, Eastern province), Nawalparasi, Gulmi areas (Lumbini district, Western province), Dang area (Rapti district, Mid Western province), Solukhumbu area (Sagarmatha district, Eastern province)",Yes,No,No,,56920.0,Km2,27.78,84.08,"Ratu, Bigahi rivers",2007.0,7.0,23.0,2007.0,10.0,2.0,640706.0,3527.0,,
2007-0311-BGD,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,BGD,Bangladesh,Southern Asia,Asia,"Goalanda village (Goalandaghat area, Rajbari district, Dhaka province), Aricha port (Shibalaya area, Manikganj district, Dhaka province), Bhagyakul village (Sreenagar area, Munshiganj district, Dhaka province), Bandarban, Feni, Comilla districts (Chittagong province), Sirajganj district (Rajshahi province), Rangpur province",No,No,No,77402.0,7000.0,Km2,23.92,91.23,Brahmaputra-Jamuna and Ganges-Padma tributaries,2007.0,7.0,21.0,2007.0,8.0,3.0,13771380.0,146956.0,,
2007-0313-CHN,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,"Tengchong Xian area (Baoshan district, Yunnan Sheng province), Fuyuan Xian area (Qujing district, Yunnan Sheng province), Yuanjiang Hani-Yi-Dai Zizhi area (Yuxi district, Yunnan Sheng province), Pu'er, Dehong Dai and Jingpo, Lincang districts (Yunnan Sheng province)",No,No,No,,165100.0,Km2,24.1,100.16,,2007.0,7.0,18.0,2007.0,8.0,3.0,386000.0,58782.0,,
2007-0314-CHN,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,"Jinan, Qingdao, Yantai, Zibo districts (Shandong Sheng province)",No,No,No,,,Km2,36.68,119.23,,2007.0,7.0,18.0,2007.0,7.0,22.0,112742.0,483485.0,,
2007-0315-CHN,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,"Luntai Xian, Ruoqiang Xian areas (Bayin'gholin Mongol district, Xinjiang Uygur Zizhiqu province), Huocheng Xian area (Ili Kazakh district, Xinjiang Uygur Zizhiqu province), Kanas, Burqin areas (Altay district, Xinjiang Uygur Zizhiqu province), Changji Hui, Hami, Urumqi districts (Xinjiang Uygur Zizhiqu province)",No,No,No,,812700.0,Km2,43.09,88.21,,2007.0,7.0,14.0,2007.0,8.0,3.0,350000.0,117565.0,,
2007-0334-RUS,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,RUS,Russian Federation,Eastern Europe,Europe,"Yuzhno-Sakhalinsk, Nevelsk towns (Sakhalinskaya Oblast Province)",No,No,No,,6.2,Moment Magnitude,47.116,141.798,,2007.0,8.0,2.0,2007.0,8.0,2.0,25012.0,617214.0,,
2007-0352-PRK,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,PRK,Democratic People's Republic of Korea,Eastern Asia,Asia,"Kangwon-do, Hwanghae-bukto, Hamgyong-namko provinces",Yes,No,No,46988.0,29480.0,Km2,38.53,126.61,"Taedong-gang, Imjin",2007.0,8.0,7.0,2007.0,8.0,25.0,1170518.0,440867.0,,
2007-0360-DOM,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,DOM,Dominican Republic,Latin America and the Caribbean,Americas,"Azua, Barahona, Distrito Nacional, La Altagracia, La Romana, Pedernales, Peravia, San Cristobal, San Pedro de Macoris, Santiago, Santo Domingo provinces",No,No,No,,,Kph,14.64,-61.02,,2007.0,8.0,21.0,2007.0,8.0,24.0,1600.0,58782.0,,
2007-0360-MEX,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,MEX,Mexico,Latin America and the Caribbean,Americas,"Yucatan, Quintana Roo, Campeche, Veracruz, Hidalgo, Puebla provinces",Yes,No,Yes,,265.0,Kph,14.54,-61.02,,2007.0,8.0,21.0,2007.0,8.0,24.0,140000.0,881735.0,,
2007-0360-MTQ,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,MTQ,Martinique,Latin America and the Caribbean,Americas,"Fort-de-France, La Trinite, Saint-Pierre, Le Marin provinces",No,No,No,,160.0,Kph,14.64,-61.02,,2007.0,8.0,16.0,2007.0,8.0,24.0,6.0,440867.0,,
2007-0362-PER,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,PER,Peru,Latin America and the Caribbean,Americas,"Pisco, Ica, Chincha districts (Ica province), Canete, Lima districts (Lima province) ; Paracas city (Pisco district, Ica province), San Vicente de Canete city (Canete district, Lima province)",Yes,Yes,Yes,52191.0,8.0,Moment Magnitude,-13.386,-76.603,,2007.0,8.0,15.0,2007.0,8.0,15.0,658331.0,881735.0,,
2007-0380-PHL,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,"Region III (Central Luzon), Region IV-A (Calabarzon), Region V (Bicol region) provinces",No,No,No,,,Kph,27.0,119.91,,2007.0,8.0,17.0,2007.0,8.0,24.0,380000.0,723.0,,
2007-0380-TWN,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,Asia,"Yunlin, Changhua, Kaohsiung, Pingtung areas (Taiwan Sheng province)",No,No,No,,,Kph,27.0,119.91,,2007.0,8.0,17.0,2007.0,8.0,24.0,1812.0,36739.0,,
2007-0383-USA,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,"Illinois, Colorado, Michigan, Minnesota, Wisconsin, Ohio, Oklahoma, North Dakota provinces",No,No,No,,1217000.0,Km2,36.86,-94.64,,2007.0,8.0,16.0,2007.0,8.0,27.0,2840.0,1028691.0,,
2007-0405-CHN,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,"Yibin, Xinshizhen, Pingshan areas (Yibin district, Sichuan Sheng province), Zhaotong district (Yunnan Sheng province)",No,No,No,,32590.0,Km2,27.72,104.07,,2007.0,8.0,22.0,2007.0,8.0,27.0,213000.0,8083.0,,
2007-0408-UGA,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,UGA,Uganda,Sub-Saharan Africa,Africa,"Amuria, Bukedea, Kaberamaido, Katakwi, Kumi, Soroti, Amuru, Gulu, Kitgum, Pader, Amolatar, Apac, Dokolo, Lira, Oyam, Abim, Kaabong, Kotido, Moroto, Nakapiripirit, Bududa, Bukwo, Kapchorwa, Mbale, Manafwa, Sironko, Adjumani, Arua, Moyo, Nebbi, Yumbe, Kiboga, Kamuli provinces",No,Yes,Yes,28475.0,,Km2,0.88,34.28,,2007.0,8.0,15.0,2007.0,10.0,31.0,718045.0,104.0,,
2007-0410-KHM,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,KHM,Cambodia,South-eastern Asia,Asia,"Kampong Thom, Ratanak Kiri, Preah Vihear provinces",No,No,No,,64580.0,Km2,13.28,105.88,,2007.0,8.0,10.0,2007.0,8.0,24.0,19000.0,1470.0,,
2007-0439-HND,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,HND,Honduras,Latin America and the Caribbean,Americas,"Santa Barbara, Cortes, Choluteca, Valle, Paraiso provinces",No,No,No,,,Kph,14.62,-83.64,,2007.0,9.0,4.0,2007.0,9.0,12.0,19500.0,9668.0,,
2007-0440-IDN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,"Bengkulu, Jambi, Riau, Sumatera Barat provinces",Yes,No,No,687.0,8.4,Moment Magnitude,-4.438,101.367,,2007.0,9.0,12.0,2007.0,9.0,12.0,459567.0,734779.0,,
2007-0448-CHN,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,Ankang district (Shaanxi Sheng province),No,No,No,,4380.0,Km2,32.78,108.87,,2007.0,8.0,31.0,2007.0,9.0,2.0,17500.0,38209.0,,
2007-0458-SVN,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),SVN,Slovenia,Southern Europe,Europe,"Zelezniki, Skofja Loka, Cerklje na Gorenjskem districts (Gorenjska province), Cerkno district (Goriska province), Velenje, Celje districts (Savinjska province)",Yes,No,No,,,Kph,46.26,14.03,Sora,2007.0,9.0,18.0,2007.0,9.0,20.0,1050.0,429111.0,,
2007-0463-VNM,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Binh, Ha Tinh, Quang Tri, Quang Ngai, Quang Nam, Son La, Yen Bai, Hoa Binh, Thai Binh, Thanh Hoa, Nghe An, Ninh Binh provinces",Yes,No,No,,117.0,Kph,17.07,106.9,,2007.0,9.0,29.0,2007.0,10.0,12.0,685430.0,280686.0,,
2007-0467-IND,nat-hyd-flo-coa,Natural,Hydrological,Flood,Coastal flood,IND,India,Southern Asia,Asia,"Baleshwar, Kendrapara, Bhadrak, Jagatsinghpur, Jajpur, Mayurbhanj, Khordha, Cuttack, Puri, Kandhamal districts (Orissa province), Kolkata, South 24 Parganas, East Midnapore, West Midnapore, Hughli districts (West Bengal province)",No,No,No,,72010.0,Km2,20.91,86.4,"Brahmani, Baitarani, Burhabalang, Budhabalanga, Suvarnarekha, Kalo, Sunei, Jalaka, Kansabansha (Orissa), Hugli, Kangsabati, Keleghai, Silabati, Subarnarekha, Dulung, Bhagirathihad, Bhagirathiis, Bhagirati (West Be,gal",2007.0,9.0,22.0,2007.0,10.0,3.0,7200000.0,404128.0,,
2007-0470-KOR,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,KOR,Republic of Korea,Eastern Asia,Asia,"Cheju-do, Chollanam-do provinces",No,No,No,,,Kph,34.78,126.59,,2007.0,9.0,16.0,2007.0,9.0,19.0,602.0,102869.0,,
2007-0503-CRI,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,CRI,Costa Rica,Latin America and the Caribbean,Americas,"Atenas district (Alajuela province), Cartago, Turrialba districts (Cartago province), Abangares, Canas, Carrillo, Hojancha, La Cruz, Liberia, Nandayure, Nicoya, Santa Cruz districts (Guanacaste province), Aguirre, Esparza, Garabito, Parrita, Puntarenas districts (Puntarenas province), Acosta, Alajuelita, Aserri, Desamparados, Dota, Leon Cortes, Mora, Puriscal, Tarrazu districts (San Jose province)",Yes,No,Yes,,,Km2,10.98,-85.44,,2007.0,10.0,12.0,2007.0,10.0,26.0,12000.0,117565.0,,
2007-0512-VNM,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,VNM,Viet Nam,South-eastern Asia,Asia,"Thua Thien - Hue, Quang Ngai, Quang Tri, Quang Nam provinces",No,No,No,,24810.0,Km2,15.87,107.78,Huong,2007.0,10.0,14.0,2007.0,10.0,24.0,22000.0,14696.0,,
2007-0521-MEX,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,MEX,Mexico,Latin America and the Caribbean,Americas,"Huitiupan, Ixhuatan, Ixtacomitan, Juarez, Ocotepec, Ostuacan, Pantepec, Pichucalco, Reforma, Solosuchiapa districts (Chiapas province), Tabasco province",Yes,Yes,Yes,12610.0,35810.0,Km2,17.67,-92.41,"Grijalva, Puxcatab, Carrizal",2007.0,10.0,28.0,2007.0,11.0,16.0,1600000.0,4408674.0,,
2007-0522-VNM,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,VNM,Viet Nam,South-eastern Asia,Asia,"Thua Thien-Hue, Quang Ngai, Quang Nam, Quan Binh provinces",No,No,No,,35110.0,Km2,16.32,107.36,"Thu Bon, Vu Gia, O Lau, Thach Han, Kien Giang",2007.0,10.0,28.0,2007.0,11.0,9.0,94042.0,440867.0,,
2007-0523-CUB,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,CUB,Cuba,Latin America and the Caribbean,Americas,"Granma, Holguin, Las Tunas, Guantanamo, Santiago de Cuba provinces",Yes,No,No,,,Kph,18.53,-70.06,,2007.0,10.0,28.0,2007.0,11.0,2.0,192488.0,734779.0,,
2007-0523-DOM,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,DOM,Dominican Republic,Latin America and the Caribbean,Americas,"Santo Domingo, Distrito Nacional, San Cristobal, Peravia, Azua, Barahona, Pedernales, Independencia, Baoruco, San Juan, Santiago, Puerto Plata, Espaillat, Salcedo, Duarte, La Vega, Monte Plata, Monsenor Nouel, Hato Mayor, El Seibo, Dajabon, Monte Cristi, Santiago Rodriguez, La Altagracia, San Pedro de Macoris provinces",Yes,No,No,,,Kph,18.53,-70.06,,2007.0,10.0,28.0,2007.0,11.0,2.0,79728.0,114185.0,,
2007-0530-THA,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,THA,Thailand,South-eastern Asia,Asia,"Chumphon, Surat Thani provinces",No,No,No,,13140.0,Km2,9.72,99.0,,2007.0,10.0,22.0,2007.0,10.0,29.0,100000.0,2204.0,,
2007-0552-TWN,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,Asia,"Yilan, Pingdong, Tainan, Hualian, Jianyi, Taidong, Nantou, Gaoxiong, Yunlin, Xinzhu areas (Taiwan Sheng province)",No,No,No,,,Kph,23.76,121.02,,2007.0,10.0,6.0,2007.0,10.0,10.0,1067.0,51435.0,,
2007-0553-PHL,nat-hyd-flo-coa,Natural,Hydrological,Flood,Coastal flood,PHL,Philippines,South-eastern Asia,Asia,"Iligan City area (Lanao Del Norte district, Region X province), Lugait area (Misamis Oriental district, Region X province), Surigao, Tagana-an, Placer areas (Surigao del Norte district, Region XIII province), Polomolok area (South Cotabato district, Region XIII province), Region VII (Central Visayas) province",No,No,No,,11140.0,Km2,8.796,124.833,Tubod and mandulog rivers,2007.0,11.0,18.0,2007.0,11.0,21.0,16463.0,3703.0,,
2007-0556-BGD,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,"Bagerhat, Khulna, Satkhira districts (Khulna province), Patuakhali, Barguna, Pirojpur, Barisal, Jhalokati, Bhola districts (Barisal province), Madaripur, Gopalganj, Shariatpur districts (Dhaka province)",Yes,No,No,215214.0,250.0,Kph,22.61,90.15,,2007.0,11.0,15.0,2007.0,11.0,19.0,8978541.0,3379983.0,,
2007-0558-VNM,nat-hyd-flo-coa,Natural,Hydrological,Flood,Coastal flood,VNM,Viet Nam,South-eastern Asia,Asia,"Khanh Hoa, Quang Ngai, Binh Dinh, Quang Nam, Thua Thien-Hue, Ninh Thuan, Quang Tri, Da Nang City provinces",No,No,No,,36820.0,Km2,15.3,108.44,"Cau, Huong, Kon, Da",2007.0,11.0,10.0,2007.0,11.0,21.0,150000.0,514345.0,,
2007-0560-PHL,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,"Isabela, Cagayan districts (Region II (Cagayan Valley) province)",No,No,No,,,Kph,17.57,121.76,Cagayan river and tributaries,2007.0,11.0,4.0,2007.0,11.0,6.0,33884.0,4366.0,,
2007-0576-PHL,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,"Isabela district (Region II (Cagayan Valley) province), Camarines Sur, Camarines Norte districts (Region V (Bicol region) province)",No,No,No,,170.0,Kph,17.08,122.01,,2007.0,11.0,25.0,2007.0,12.0,2.0,443115.0,7348.0,,
2007-0578-PHL,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,"Region VII (Central Visayas), Region X (Northern Mindanao) provinces",No,No,Yes,,129.0,Kph,8.796,124.83,,2007.0,11.0,18.0,2007.0,11.0,23.0,35333.0,1470.0,,
2007-0581-USA,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),USA,United States of America,Northern America,Americas,"Washington, Oregon provinces",No,No,Yes,,160.0,Kph,47.09,-122.91,,2007.0,12.0,3.0,2007.0,12.0,7.0,1128.0,1469558.0,,
2007-0587-CHL,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHL,Chile,Latin America and the Caribbean,Americas,"Tocopilla, Maria Elena, Quillagua town (Topicalla Province, Antofagasta Region), Mejillones (Antofagasta Province, Antofagasta Region)",No,No,Yes,,7.7,Moment Magnitude,-22.247,-69.89,,2007.0,11.0,14.0,2007.0,11.0,14.0,25155.0,146956.0,,
2007-0591-AUS,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,AUS,Australia,Australia and New Zealand,Oceania,"Darwin district (Northern Territory province), Ashburton, East Pilbara, Port Hedland, Roebourne districts (Western Australia province)",No,No,No,,275.0,Kph,-13.67,131.92,,2007.0,3.0,2.0,2007.0,3.0,16.0,820.0,146956.0,,
2007-0603-IND,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,IND,India,Southern Asia,Asia,Kerala province,No,No,No,,21120.0,Km2,10.39,76.31,,2007.0,7.0,16.0,2007.0,7.0,20.0,35000.0,148647.0,,
2007-0611-MYS,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,MYS,Malaysia,South-eastern Asia,Asia,"Johor, Kelantan, Pahang, Terengganu provinces",No,No,No,,,Km2,3.89,102.93,"Segamat, Muar. Rasau, Paloh, Kelantan, Chodan, Muar, Plentong, Golok, Triang, Pahang, Gadak, Durian",2007.0,12.0,7.0,2007.0,12.0,21.0,29000.0,533450.0,,
2007-0612-DOM,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,DOM,Dominican Republic,Latin America and the Caribbean,Americas,"Bonao city (Monsenor Nouel district, Monsenor Nouel province), Nagua district (Maria Trinidad Sanches province), Arenoso, Villa Rivas districts (Duarte province), Santiago, Barahona, La Vega, Puerto Plata, Monte Plata, El Seibo provinces",No,No,No,,,Kph,18.93,-71.03,,2007.0,12.0,11.0,2007.0,12.0,17.0,61605.0,66130.0,,
2007-0614-MOZ,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),MOZ,Mozambique,Sub-Saharan Africa,Africa,"Mutarara, Nhamayabue, Inhangoma areas (Mutarara district, Tete province), Nova Mabone area (Govuro district, Inhambane province), Mossurize, Sussundenga, Tambara (Manica province), Mopeia, Chinde, Morrumbala, Maganja da Costa, Namacurra, Nicoadala districts (Zambezia province), Nampula, Cabo Delgado, Sofala provinces",Yes,No,No,,57570.0,Km2,-19.06,34.36,"Buzi, Pungue, Save, Zambèze",2007.0,12.0,11.0,2008.0,1.0,3.0,113535.0,146956.0,,
2007-0652-BOL,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Pando, Potosi, Santa Cruz,Tarija provinces",Yes,Yes,Yes,26053.0,218600.0,Km2,-17.66,-65.3,,2007.0,12.0,15.0,2008.0,2.0,20.0,485024.0,734779.0,,
2007-0692-GBR,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Folkestone town (Kent district, England province)",No,No,No,,4.6,Moment Magnitude,51.085,1.009,,2007.0,4.0,28.0,2007.0,4.0,28.0,4501.0,88173.0,,
2008-0014-AUS,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,AUS,Australia,Australia and New Zealand,Oceania,"Brisbane, Southern Downs, Scenic Rim, Ipswich districts (Queensland province), Lismore, Richmond Valley, Kyogle, Tweed, Bellingen, Tenterfield, Ballina districts (New South Wales province)",No,No,No,,41560.0,Km2,-28.44,152.87,"Logan, Albert, Condamine, Macintyre, Tweedn Richmond, Coomera, Wilson, Bellinger, Boonoo, Clarence",2008.0,1.0,3.0,2008.0,1.0,9.0,3000.0,127370.0,,
2008-0017-AUS,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,AUS,Australia,Australia and New Zealand,Oceania,"Yamba area (Unincorporated NSW, New South Wales province), Proserpine, Airlie Beach, Bowen areas (Whitsunday district, Queensland province), Giru area (Burdekin district, Queensland province), Georgetown area (Etheridge district, Queensland province), Charleville area (Murweh district, Queensland province), Aramac, Muttaburra, Willow villages (Barcaldine district, Queensland province), Belyando, Clermont villages (Isaac district, Queensland province), Emerald, Sapphire villages (Central Highlands district, Queensland province), hargomindah village (Bulloo district, Queensland province), Mirani, Finch Hatton villages (Mackay district, Queensland province), Cunnamulla village (Paroo district, Queensland province), Townsville, Charters Towers, Longreach, Winton, Barcoo, Quilpie, Blackall Tambo districts (Queensland province)",No,No,No,,649500.0,Km2,-20.4,144.56,"Flindersn Don, Proserpine, Burdekin, Haughton, Dawson, Diamantina, Thomson, Lower Flinders, Norman, Einasleigh, Einsleigh, Warrego, Landsborough, Barcoo",2008.0,1.0,14.0,2008.0,2.0,1.0,3200.0,849136.0,,
2008-0040-COD,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Bukavu district (Sud-Kivu province),No,No,No,,5.9,Moment Magnitude,-2.296,28.9,,2008.0,2.0,3.0,2008.0,2.0,3.0,17355.0,9907.0,,
2008-0048-ECU,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,ECU,Ecuador,Latin America and the Caribbean,Americas,"Samborondon, Salitre, Daule, San Jacinto de Yaguachi, Alfredo Baquerizo Moreno, Santa Lucia districts (Guayas province), Chone, Tosagua districts (Manabi province), Babahoyo, Baba, Montalvo, Vinces, Urdaneta districts (Los Rios province), Azuay, Esmeraldas, El Oro, Santa Elena, Carchi, Cotopaxi, Canar, Chimborazo, Loja, Bolivar, Imbabura, Pincincha provinces",Yes,Yes,Yes,7019.0,75830.0,Km2,-1.25,-79.66,"Bulubulu, Chimbo",2008.0,1.0,30.0,2008.0,3.0,3.0,289122.0,1415226.0,,
2008-0052-IDN,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,Asia,Pasuruan district (Jawa Timur province),No,No,No,,810.0,Km2,-7.71,112.91,,2008.0,1.0,30.0,2008.0,1.0,31.0,40000.0,924.0,,
