DisNo.,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Affected,"Total Damage, Adjusted ('000 US$)",Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium"
2015-0078-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Shawan area (Tacheng district, Xinjiang Uygur Zizhiqu province)",No,No,No,,5.1,Moment Magnitude,44.133,85.568,,2015.0,2.0,22.0,2015.0,2.0,22.0,8640.0,18834.0,,
2015-0106-CHL,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,CHL,Chile,Latin America and the Caribbean,Americas,"Atacama, Antofagasta, Coquimbo provinces",No,No,Yes,,154773.2,Km2,-22.3617,-68.89,Copiapo river,2015.0,3.0,25.0,2015.0,4.0,8.0,193881.0,1928354.0,,
2015-0107-IND,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,IND,India,Southern Asia,Asia,"Chadoora village (72811 district, Jammu and Kashmir province)",No,No,No,,70287.98,Km2,33.1767,76.41,Jhelum river,2015.0,3.0,20.0,2015.0,3.0,31.0,2122.0,97703.0,,
2015-0125-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Zhenkang Xian, Cangyuan Wa Zizhixian, Gengma Dai-Wa Zizhixian areas (Lincang district, Yunnan Sheng province)",No,No,No,,5.2,Moment Magnitude,23.566,98.854,,2015.0,3.0,1.0,2015.0,3.0,1.0,2032.0,19284.0,,
2015-0144-NPL,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,NPL,Nepal,Southern Asia,Asia,"Gorkha area (Gandaki district, Western province), Dolakha, Ramechhap areas (Janakpur district, Central province), Bagmati district (Central province)",Yes,No,No,533808.0,7.8,Moment Magnitude,28.23,84.731,,2015.0,4.0,25.0,2015.0,4.0,25.0,5639722.0,6651534.0,,
2015-0145-PAK,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,PAK,Pakistan,Southern Asia,Asia,"Peshawar district, North-West Frontier province",No,No,No,,21148.0,Km2,33.5131,71.89,,2015.0,4.0,26.0,2015.0,4.0,28.0,5067.0,1286.0,,
2015-0185-CHN,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,"Hukengzhen village (Anfu area, Ji'an district, Jiangxi Sheng province), Leishan Xian area (Qiandongnan Miao and Dong district, Guizhou Sheng province), Ganzhou Shi area (Ganzhou district, Jiangxi Sheng province), Guiyang district (Guizhou Sheng province), Fujian Sheng, Guangxi Zhuangzu Zizhiqu, Hunan Sheng, Guangdong Sheng, Jiangsu Sheng, Sichuan Sheng, Yunnan Sheng, Hubei Sheng, Anhui Sheng, Chongqing Shi, Zhejiang Sheng provinces",No,No,No,,,Km2,27.0326,114.98,,2015.0,5.0,13.0,2015.0,6.0,1.0,82021.0,1028455.0,,
2015-0206-NZL,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),NZL,New Zealand,Australia and New Zealand,Oceania,Wellington province,No,No,No,,7484.0,Km2,-41.092,175.35,,2015.0,5.0,13.0,2015.0,5.0,21.0,100.0,128557.0,,
2015-0212-USA,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,USA,United States of America,Northern America,Americas,"Texas, Oklahoma, Colorado, Arkansas, Kansas, Louisiana, Georgia, Ohio, South Carolina",No,No,No,,849464.6,Km2,34.1936,-97.99,,2015.0,5.0,23.0,2015.0,5.0,30.0,12000.0,3471036.0,,
2015-0216-MYS,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,MYS,Malaysia,South-eastern Asia,Asia,Ranau district (Sabah province),No,No,No,,6.0,Moment Magnitude,5.987,116.541,,2015.0,6.0,5.0,2015.0,6.0,5.0,10.0,3.0,,
